,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor,harvesine_distance
0,NonResidential,Hotel,DOWNTOWN,1,12,88434,Hotel,81.69999695,7226362.5,249.98,2.83,89,1,1.0,0.0,88434.0,7369.5,0.4967821234009228
1,NonResidential,Hotel,DOWNTOWN,1,11,103566,Hotel,94.80000305,8387933.0,295.86,2.86,20,3,0.85455,0.14545,103566.0,9415.091,0.4887262103626452
2,NonResidential,Hotel,DOWNTOWN,1,41,956110,Hotel,96.0,72587024.0,2089.28,2.19,47,1,0.79425,0.20575,956110.0,23319.756,0.6023784009299225
3,NonResidential,Hotel,DOWNTOWN,1,10,61320,Hotel,110.8000031,6794584.0,286.43,4.67,90,1,1.0,0.0,61320.0,6132.0,0.5862525898878533
4,NonResidential,Hotel,DOWNTOWN,1,18,175580,Hotel,114.8000031,14172606.0,505.01,2.88,36,3,0.64688,0.35312,175580.0,9754.444,0.6508005468558727
5,Nonresidential COS,Other,DOWNTOWN,1,2,97288,Police Station,136.1000061,12086616.0,301.81,3.1,17,1,0.61765,0.38235,97288.0,48644.0,0.7231049269405355
6,NonResidential,Hotel,DOWNTOWN,1,11,83008,Hotel,70.80000305,5758795.0,176.14,2.12,90,1,1.0,0.0,83008.0,7546.182,0.5327330556529828
7,NonResidential,Other,DOWNTOWN,1,8,102761,Other - Entertainment/Public Assembly,61.29999924,6298131.5,221.51,2.16,90,1,1.0,0.0,102761.0,12845.125,0.4893635664651936
8,NonResidential,Hotel,DOWNTOWN,1,15,163984,Hotel,83.69999695,13723820.0,392.16,2.39,112,1,1.0,0.0,163984.0,10932.267,0.2264356907949372
9,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,1,6,63712,Multifamily Housing,81.5,4573777.0,151.12,2.37,106,1,0.97652,0.02348,63712.0,10618.667,0.2323074936168032
10,NonResidential,Hotel,DOWNTOWN,1,11,153163,Hotel,119.5999985,16016644.0,691.26,4.51,47,1,0.87413,0.12587,153163.0,13923.909,0.1081662624009346
11,NonResidential,Hotel,DOWNTOWN,1,25,333176,Hotel,80.0,26941110.0,740.97,2.22,18,1,0.81643,0.18357,333176.0,13327.04,0.083007687815486
12,NonResidential,Hotel,DOWNTOWN,1,9,65009,Hotel,101.5,6596057.5,328.23,5.05,88,1,1.0,0.0,65009.0,7223.222,0.0835667162458115
13,NonResidential,Hotel,DOWNTOWN,1,33,315952,Hotel,75.5,22325364.0,648.62,2.05,36,2,0.81769,0.18231,315952.0,9574.303,0.1304987967834525
14,NonResidential,Hotel,DOWNTOWN,1,11,92190,Hotel,159.5,10750010.0,511.39,5.55,94,2,0.72665,0.27335,92190.0,8380.909,0.0945452689912007
15,Nonresidential COS,Other,DOWNTOWN,1,11,412000,Library,50.79999924,18588860.0,181.38,0.44,12,3,0.86165,0.13835,412000.0,37454.545,0.0451793581532458
16,NonResidential,Other,DOWNTOWN,1,6,103911,Fitness Center/Health Club/Gym,76.59999847,9956396.0,433.86,4.18,86,3,1.0,0.0,103911.0,17318.5,0.0603514779230892
17,NonResidential,Hotel,DOWNTOWN,1,28,416281,Hotel,96.30000305,33556756.0,802.89,1.93,33,2,0.79581,0.20419,416281.0,14867.179,0.0744966909391978
18,NonResidential,Mixed Use Property,DOWNTOWN,1,5,57452,Social/Meeting Hall,132.3999939,7606084.5,273.02,4.75,109,5,1.0,0.0,57452.0,11490.4,0.0762859936036595
19,NonResidential,Hotel,DOWNTOWN,1,10,104352,Hotel,97.30000305,10154608.0,349.32,3.35,100,1,1.0,0.0,104352.0,10435.2,0.1686349262385081
20,NonResidential,Other,DOWNTOWN,1,10,540360,Courthouse,83.69999695,44984468.0,1265.29,2.34,100,1,1.0,0.0,540360.0,54036.0,0.2560432252595674
21,NonResidential,Other,DOWNTOWN,1,19,385274,Other,124.1999969,47859812.0,1699.45,4.41,31,1,1.0,0.0,385274.0,20277.579,0.2393065482340545
22,SPS-District K-12,K-12 School,SOUTHEAST,1,2,56228,K-12 School,26.10000038,1539478.5,38.53,0.69,55,1,1.0,0.0,56228.0,28114.0,5.116862738648708
23,NonResidential,Hotel,NORTHEAST,1,6,88592,Hotel,63.20000076,3663534.5,90.01,1.02,15,2,0.65475,0.34525,88592.0,14765.333,3.7479721783462057
24,NonResidential,University,DOWNTOWN,1,7,126593,College/University,90.69999695,11343686.0,388.04,3.07,88,1,1.0,0.0,126593.0,18084.714,0.8484991179604295
25,NonResidential,Other,DOWNTOWN,1,2,67224,Automobile Dealership,19.5,1310236.625,9.13,0.14,86,1,1.0,0.0,67224.0,33612.0,0.6105578831953249
26,NonResidential,Hotel,EAST,1,8,158676,Hotel,45.5,5328051.5,256.57,1.62,25,4,0.80904,0.19096,158676.0,19834.5,0.4880526092550726
27,NonResidential,Hotel,DOWNTOWN,1,10,171866,Hotel,85.80000305,11061916.0,328.63,1.91,15,1,0.77726,0.22274,171866.0,17186.6,0.8116716607091687
29,NonResidential,Hotel,DOWNTOWN,1,5,68410,Hotel,92.90000153,4456714.5,128.44,1.88,38,1,0.76319,0.23681,68410.0,13682.0,0.7910981473177255
30,SPS-District K-12,K-12 School,NORTH,1,2,160645,K-12 School,41.29999924,6779173.0,270.18,1.68,67,1,1.0,0.0,160645.0,80322.5,7.38984373038417
32,NonResidential,Small- and Mid-Sized Office,LAKE UNION,1,3,87262,Office,61.5,4145920.5,157.77,1.81,110,4,1.0,0.0,87262.0,29087.333,3.997947686292328
33,NonResidential,Hotel,NORTHEAST,1,4,81871,Hotel,81.5,6668568.5,215.0,2.63,22,1,1.0,0.0,81871.0,20467.75,4.385247360521327
34,NonResidential,Self-Storage Facility,NORTHEAST,1,2,110356,Self-Storage Facility,12.10000038,318364.8125,3.93,0.04,61,1,1.0,0.0,110356.0,55178.0,4.185590355386213
35,Campus,Mixed Use Property,GREATER DUWAMISH,1,3,494835,Office,221.6999969,448385312.0,16870.98,34.09,24,5,1.0,0.0,494835.0,164945.0,4.965238527600996
36,NonResidential,Warehouse,GREATER DUWAMISH,3,2,714095,Non-Refrigerated Warehouse,46.40000153,44731160.0,311.84,0.44,55,3,1.0,0.0,238031.667,357047.5,6.85137042931073
37,SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1,2,54986,K-12 School,30.0,1650279.25,31.47,0.57,26,1,1.0,0.0,54986.0,27493.0,4.420259019931173
38,SPS-District K-12,K-12 School,NORTHEAST,1,2,175565,K-12 School,35.0,6399127.5,266.05,1.52,66,1,1.0,0.0,175565.0,87782.5,5.545232521499483
39,NonResidential,Small- and Mid-Sized Office,BALLARD,1,2,94900,Office,65.19999695,6186461.5,130.56,1.38,55,2,1.0,0.0,94900.0,47450.0,4.7933718765922215
40,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,2,52554,Office,50.09999847,2951331.25,83.86,1.6,116,2,1.0,0.0,52554.0,26277.0,2.030829288987207
